ID STAR;SGidSourceEnt
147364;UBFC_ADUM_ UBFC_95994
171016;UBFC_ADUM_ UBFC_95978
167732;UBFC_ADUM_ UBFC_95965
172772;UBFC_ADUM_ UBFC_95957
149862;UBFC_ADUM_ UBFC_95938
184495;UBFC_ADUM_ UBFC_95845
143434;UBFC_ADUM_ UBFC_95803
180003;UBFC_ADUM_ UBFC_95793
160753;UBFC_ADUM_ UBFC_95784
148092;UBFC_ADUM_ UBFC_95747
172303;UBFC_ADUM_ UBFC_95723
172265;UBFC_ADUM_ UBFC_95723
142547;UBFC_ADUM_ UBFC_95712
147409;UBFC_ADUM_ UBFC_95710
141811;UBFC_ADUM_ UBFC_95709
172782;UBFC_ADUM_ UBFC_95646
146050;UBFC_ADUM_ UBFC_95642
144858;UBFC_ADUM_ UBFC_95602
164309;UBFC_ADUM_ UBFC_95588
145443;UBFC_ADUM_ UBFC_95587
131267;UBFC_ADUM_ UBFC_95578
159218;UBFC_ADUM_ UBFC_95566
172045;UBFC_ADUM_ UBFC_95545
152355;UBFC_ADUM_ UBFC_95526
141892;UBFC_ADUM_ UBFC_95512
147417;UBFC_ADUM_ UBFC_95499
130875;UBFC_ADUM_ UBFC_95459
141996;UBFC_ADUM_ UBFC_95458
145800;UBFC_ADUM_ UBFC_95429
141038;UBFC_ADUM_ UBFC_95414
185284;UBFC_ADUM_ UBFC_95391
170858;UBFC_ADUM_ UBFC_95305
146224;UBFC_ADUM_ UBFC_95137
146693;UBFC_ADUM_ UBFC_95136
160690;UBFC_ADUM_ UBFC_95125
147501;UBFC_ADUM_ UBFC_95117
145392;UBFC_ADUM_ UBFC_95112
144942;UBFC_ADUM_ UBFC_95048
146479;UBFC_ADUM_ UBFC_94950
170354;UBFC_ADUM_ UBFC_94897
172021;UBFC_ADUM_ UBFC_94840
141877;UBFC_ADUM_ UBFC_94831
143428;UBFC_ADUM_ UBFC_94755
160710;UBFC_ADUM_ UBFC_94487
157455;UBFC_ADUM_ UBFC_94364
170723;UBFC_ADUM_ UBFC_94350
158961;UBFC_ADUM_ UBFC_94313
186364;UBFC_ADUM_ UBFC_94275
129535;UBFC_ADUM_ UBFC_94090
148461;UBFC_ADUM_ UBFC_94052
148930;UBFC_ADUM_ UBFC_93957
165672;UBFC_ADUM_ UBFC_93864
185161;UBFC_ADUM_ UBFC_93859
145763;UBFC_ADUM_ UBFC_93844
170350;UBFC_ADUM_ UBFC_93840
150389;UBFC_ADUM_ UBFC_93838
170334;UBFC_ADUM_ UBFC_93837
152453;UBFC_ADUM_ UBFC_93836
146136;UBFC_ADUM_ UBFC_93820
171683;UBFC_ADUM_ UBFC_93819
170722;UBFC_ADUM_ UBFC_93815
172847;UBFC_ADUM_ UBFC_93814
143911;UBFC_ADUM_ UBFC_93813
171344;UBFC_ADUM_ UBFC_93806
159215;UBFC_ADUM_ UBFC_93731
139312;UBFC_ADUM_ UBFC_93678
152386;UBFC_ADUM_ UBFC_93677
173117;UBFC_ADUM_ UBFC_93674
172694;UBFC_ADUM_ UBFC_93673
147073;UBFC_ADUM_ UBFC_93672
150452;UBFC_ADUM_ UBFC_93666
146237;UBFC_ADUM_ UBFC_93608
151530;UBFC_ADUM_ UBFC_93607
184871;UBFC_ADUM_ UBFC_93557
164281;UBFC_ADUM_ UBFC_93556
142332;UBFC_ADUM_ UBFC_93422
160329;UBFC_ADUM_ UBFC_93353
141390;UBFC_ADUM_ UBFC_93299
171629;UBFC_ADUM_ UBFC_93165
162885;UBFC_ADUM_ UBFC_93105
172239;UBFC_ADUM_ UBFC_93090
144289;UBFC_ADUM_ UBFC_93078
179782;UBFC_ADUM_ UBFC_93077
147413;UBFC_ADUM_ UBFC_93071
146971;UBFC_ADUM_ UBFC_93038
143899;UBFC_ADUM_ UBFC_93027
145687;UBFC_ADUM_ UBFC_93010
142142;UBFC_ADUM_ UBFC_93006
141312;UBFC_ADUM_ UBFC_92995
146695;UBFC_ADUM_ UBFC_92917
141185;UBFC_ADUM_ UBFC_92911
165765;UBFC_ADUM_ UBFC_92888
170890;UBFC_ADUM_ UBFC_92807
160883;UBFC_ADUM_ UBFC_92787
145814;UBFC_ADUM_ UBFC_92681
144219;UBFC_ADUM_ UBFC_92614
145503;UBFC_ADUM_ UBFC_92573
171010;UBFC_ADUM_ UBFC_92545
140136;UBFC_ADUM_ UBFC_92544
146323;UBFC_ADUM_ UBFC_92511
146333;UBFC_ADUM_ UBFC_92486
165185;UBFC_ADUM_ UBFC_92485
152124;UBFC_ADUM_ UBFC_92484
154787;UBFC_ADUM_ UBFC_92483
170721;UBFC_ADUM_ UBFC_92481
141322;UBFC_ADUM_ UBFC_92478
142212;UBFC_ADUM_ UBFC_92477
103729;UBFC_ADUM_ UBFC_92468
164660;UBFC_ADUM_ UBFC_92466
154583;UBFC_ADUM_ UBFC_92456
172453;UBFC_ADUM_ UBFC_92454
149191;UBFC_ADUM_ UBFC_92452
145446;UBFC_ADUM_ UBFC_92449
150505;UBFC_ADUM_ UBFC_92435
142823;UBFC_ADUM_ UBFC_92434
128326;UBFC_ADUM_ UBFC_92433
144773;UBFC_ADUM_ UBFC_92365
152044;UBFC_ADUM_ UBFC_92347
169334;UBFC_ADUM_ UBFC_92234
186095;UBFC_ADUM_ UBFC_92031
153334;UBFC_ADUM_ UBFC_92025
147145;UBFC_ADUM_ UBFC_92024
185014;UBFC_ADUM_ UBFC_91977
148640;UBFC_ADUM_ UBFC_91958
148557;UBFC_ADUM_ UBFC_91956
142735;UBFC_ADUM_ UBFC_91851
148662;UBFC_ADUM_ UBFC_91449
172603;UBFC_ADUM_ UBFC_91337
151819;UBFC_ADUM_ UBFC_91299
139331;UBFC_ADUM_ UBFC_90277
147591;UBFC_ADUM_ UBFC_89929
130594;UBFC_ADUM_ UBFC_89832
146660;UBFC_ADUM_ UBFC_89805
146195;UBFC_ADUM_ UBFC_88640
136708;UBFC_ADUM_ UBFC_88369
103655;UBFC_ADUM_ UBFC_88062
113395;UBFC_ADUM_ UBFC_88061
129974;UBFC_ADUM_ UBFC_88060
104475;UBFC_ADUM_ UBFC_88058
122470;UBFC_ADUM_ UBFC_88056
103127;UBFC_ADUM_ UBFC_88055
118739;UBFC_ADUM_ UBFC_88051
109568;UBFC_ADUM_ UBFC_88049
106671;UBFC_ADUM_ UBFC_88041
130523;UBFC_ADUM_ UBFC_88039
129228;UBFC_ADUM_ UBFC_88036
137204;UBFC_ADUM_ UBFC_87927
139166;UBFC_ADUM_ UBFC_87925
172403;UBFC_ADUM_ UBFC_87838
105854;UBFC_ADUM_ UBFC_87834
128746;UBFC_ADUM_ UBFC_87833
138587;UBFC_ADUM_ UBFC_87757
105836;UBFC_ADUM_ UBFC_87748
183562;UBFC_ADUM_ UBFC_87747
136925;UBFC_ADUM_ UBFC_87743
144312;UBFC_ADUM_ UBFC_87742
114164;UBFC_ADUM_ UBFC_87721
121568;UBFC_ADUM_ UBFC_87452
117912;UBFC_ADUM_ UBFC_87446
130455;UBFC_ADUM_ UBFC_87443
103881;UBFC_ADUM_ UBFC_87440
133706;UBFC_ADUM_ UBFC_87439
120524;UBFC_ADUM_ UBFC_87434
103658;UBFC_ADUM_ UBFC_87433
113827;UBFC_ADUM_ UBFC_87430
104460;UBFC_ADUM_ UBFC_87428
116068;UBFC_ADUM_ UBFC_87427
143535;UBFC_ADUM_ UBFC_87426
103130;UBFC_ADUM_ UBFC_87425
104762;UBFC_ADUM_ UBFC_87423
