IDstar,ancienne_url,nouvelle_url
3382,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/219754b2-b840-46e3-9bc9-3095f399c60a,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Bouzari.pdf
3654,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/e0561976-d137-4003-9b1f-4f02723e0b94,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Brulle.pdf
4425,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/cbb36940-5672-46a4-98d1-a3f3d5027f94,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Brunel.pdf
3755,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/ce521f8c-bd3c-400a-b113-a4ff763dbf90,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Cappelle.pdf
3599,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/d044adec-f81f-40f1-81b5-cf823f4bdc56,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Carette.pdf
3667,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/2f97cc7e-ff13-43fe-a035-e94b6325a942,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Carrasquero.pdf
3777,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/b2e39973-20ce-41c2-983e-720534eaa163,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Chang.pdf
2713,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/512acffa-9059-45e0-9979-f38e11832604,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Costermans.pdf
4821,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/90fd9745-b9e3-4b7b-a362-26e0ce20c958,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Coulon.pdf
4081,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/ccec2244-d09d-44ba-aab1-d6399291de3d,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Crochet.pdf
3764,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/19f52796-5057-46bf-bfa7-b6087b0b3bcb,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Debeusscher.pdf
3381,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/20611c99-5516-4d04-96d9-920bf0fa1757,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Dehennaut.pdf
4460,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/5a978661-bab4-4a2b-bc49-c89856c79356,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Delangre.pdf
3728,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/e2f8b363-7eed-4e3e-b936-4dc1288a0b1a,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Deng.pdf
2718,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/6db77c9f-8fb2-4451-8166-17f41e7b304d,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Detalle.pdf
3408,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/a1f647a5-3a00-4998-8836-c6ae0420e4f5,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Detrez.pdf
4568,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/7293bb1d-97d1-46c1-88af-7549bd00580e,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Devulder.pdf
3735,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/0c4d4de0-6ff2-4abf-95d3-4d1631ce1071,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Dheur.pdf
4227,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/7a6b7b09-7c19-4dc3-9225-e413e2c31042,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Dievart.pdf
2640,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/80230b6d-451b-4aef-9fc3-b4270beda650,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Djamai.pdf
4403,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/af1ca237-00cc-43dd-83ab-4f80212e5b19,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Dropsit.pdf
3672,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/28e64cdb-f1de-4106-8d20-ab6f88bf2372,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Dubus.pdf
2749,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/ea5bfd71-c7b4-45f8-a62e-8f5dd94d64d8,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Ducatteau.pdf
2736,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/1b128013-884c-4b99-a44a-b71a18aa830e,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Dumont.pdf
3623,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/f3cd9c14-40c5-4777-a98e-a056db0aa571,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-El_Fkihi.pdf
3402,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/17ec2309-11fb-4e0e-a9f7-ad1856f84e10,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Emery.pdf
3753,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/2ffacda7-725b-43f2-a5a8-2aac27c0b6e5,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Fabre.pdf
4678,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/e42ccf34-32b5-45be-86b4-3d6c99600838,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Faid.pdf
3724,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/76359fd9-6456-455c-8fd1-2f96b28c1602,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Ferrieres.pdf
