IDSTAR;ID STEP;NNT;numeroPAC;SGindicCines;dateCines;etat;etatWF;SCOL etat;BIBL etat;FICH etat;VALID etat
175321;192050;2021AIXM0652;1443143;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
144685;192283;2021UNIP7134;1442981;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
167889;193009;2021AIXM0295;1443147;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
173789;197135;2021AIXM0647;1443155;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
176077;197653;2022ASSA0002;1443175;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
178197;200205;2021LYSES050;1443164;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
143058;200496;2021LYSE1033;1443181;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
155215;200837;2021LYSE1053;1443178;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
176639;200865;2021LYSE1343;1443157;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
158857;201382;2021LYSE1052;1443182;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
