301019,704170,754865
226069,706550,755019
521870,721028
639070,720227
480590,705693
516820,712408
503141,709381
503348,705489
503164,719564
503126,706768
503338,719484
503373,709249
503112,704363
503102,702770
503158,711986
503333,701907
733312,757052
733542,756903
733543,757057
733537,757046
743018,757048
743020,757051
715606,757260
502465,757049
461752,712934
470966,709065
416783,707310
432483,704661
429758,757137
441648,710244
667623,711020
190871,707428
111955,712018
658717,721229
287959,703538
145512,710435
190571,707525
506305,707796
185584,709754
266929,712946
267574,705859
522160,710990
577590,709370
583509,753272
445030,717293
510957,706894
499326,706264
499213,703963
507171,707677
499285,705371
510914,721482
217490,706181
298871,704277
165426,708754
246365,704852
258889,704942
384473,723018
388026,704724
475172,697338
111726,697770
125598,697771
164477,697158
679728,697767
382158,710430
317073,721076
401341,712213
355112,713125
253850,705189
506183,708368
517896,707271
195533,707283
464516,719488
109136,719545
554013,719553
503334,702257
554012,719551
464528,719499
554006,706538
553997,703808
153235,710754
508685,732353
111618,712036
498375,708070
327461,719479
265368,719494
464535,719509
498288,706547
498590,712116
144108,710512
506331,710600
497894,707983
503099,702222
497964,719547
507173,719512
497888,707777
498311,706899
503359,719505
497806,703756
404160,708426
402666,711384
401762,721771
401769,706244
402885,703700
401777,705086
401799,702506
402751,721766
402745,707679
402594,711894
283455,703666
556341,703583
555382,757142
557112,709286
112840,712069
266500,705272
396207,711132
396768,732973
413257,710201
413088,702549
396749,705070
395862,709004
396549,708826
395865,709438
413072,705757
395860,710887
395861,708656
413058,754671
419256,707157
413075,703295
381791,705890
413298,704446
395892,704182
412834,710733
395891,705325
413255,711850
413265,709738
413259,710769
413270,707731
147719,711028
419257,707549
413272,708243
396739,706939
396793,702621
413287,705145
412808,712400
413071,732981
413308,757133
419233,703036
419240,704522
490411,732843
413061,708320
413525,707471
396528,722239
360030,706001
317434,702842
224225,705972
200805,707718
121160,713139
144593,710386
266226,705280
287207,703579
315081,702219
295436,732513
157023,757141
184976,709890
201480,707610
139554,710656
534771,706707
534891,708401
507249,712428
454728,703495
494181,711631
454862,704369
454539,706193
495525,712851
494588,704687
504980,705582
494593,709845
496261,721417
494517,708299
494594,722107
494514,707319
715603,757055
478034,757047
435937,712853
435999,710909
435969,703868
436236,722175
436386,703181
363388,707062
436382,702844
436405,709031
436395,705092
436582,722436
436838,708448
276287,703353
437377,710460
437356,721708
438156,721496
438173,709769
438179,711725
505402,710145
269590,705847
488138,703601
497431,705217
111676,712028
384431,710070
380768,707868
666610,705205
535544,703070
314562,702238
108571,711586
441635,706632
467847,709604
403102,723017
430493,708022
434021,708258
476594,710613
433994,703554
476579,703407
433990,702705
434030,710255
434011,707035
480443,708087
218499,706211
496345,722237
480253,703897
435345,709944
423166,711535
436575,711615
435339,708310
480299,713072
480611,707105
432663,721662
480249,703463
434034,710671
477864,712458
434022,708794
433835,712697
448373,712216
462067,710635
461756,706814
423667,708284
423711,705002
423727,708855
424566,705273
