ID STAR;ID STEP;NNT;stepEtat;NNT
151435;205915;2021UPSLP002;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021UPSLP002</nnt>"
183042;208033;2022GRALT043;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022GRALT043</nnt>"
165897;208579;2021LYSE1340;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LYSE1340</nnt>"
174737;208661;2021BRES0109;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021BRES0109</nnt>"
175619;210133;2021BRES0113;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021BRES0113</nnt>"
166454;210306;2021AIXM0634;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021AIXM0634</nnt>"
180839;210549;2021LYSE1338;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LYSE1338</nnt>"
176059;212399;2021LYSE1334;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LYSE1334</nnt>"
179666;212882;2021LYSE1342;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LYSE1342</nnt>"
184119;213204;2022UPAST099;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022UPAST099</nnt>"
184099;214101;2022BORD0187;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022BORD0187</nnt>"
178143;214516;2022AIXM0009;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022AIXM0009</nnt>"
180804;216978;2022UPSLM019;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022UPSLM019</nnt>"
186157;217524;2022NORMC217;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022NORMC217</nnt>"
160750;218390;2022LIMO0062;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022LIMO0062</nnt>"
168656;218871;2021LYSE1335;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LYSE1335</nnt>"
171905;218961;2021LYSE1333;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LYSE1333</nnt>"
174176;220651;2021MULH3784;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021MULH3784</nnt>"
180624;221028;2022MONTS012;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022MONTS012</nnt>"
173130;221447;2022AIXM0026;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022AIXM0026</nnt>"
177445;221751;2021MULH2459;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021MULH2459</nnt>"
174173;222301;2021MULH4926;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021MULH4926</nnt>"
183865;222344;2022GRALI049;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022GRALI049</nnt>"
