IDSTEP;SGentreeIdSource;new
227055;UBFC_ADUM_ UBFC_112822;UBFC_ADUM_UBFC_112822
227094;UBFC_ADUM_ UBFC_112821;UBFC_ADUM_UBFC_112821
227090;UBFC_ADUM_ UBFC_112805;UBFC_ADUM_UBFC_112805
226959;UBFC_ADUM_ UBFC_112674;UBFC_ADUM_UBFC_112674
226894;UBFC_ADUM_ UBFC_112633;UBFC_ADUM_UBFC_112633
226841;UBFC_ADUM_ UBFC_112557;UBFC_ADUM_UBFC_112557
226840;UBFC_ADUM_ UBFC_112556;UBFC_ADUM_UBFC_112556
226839;UBFC_ADUM_ UBFC_112555;UBFC_ADUM_UBFC_112555
226837;UBFC_ADUM_ UBFC_112549;UBFC_ADUM_UBFC_112549
228489;UBFC_ADUM_ UBFC_112477;UBFC_ADUM_UBFC_112477
226673;UBFC_ADUM_ UBFC_112368;UBFC_ADUM_UBFC_112368
226652;UBFC_ADUM_ UBFC_112350;UBFC_ADUM_UBFC_112350
226651;UBFC_ADUM_ UBFC_112349;UBFC_ADUM_UBFC_112349
226646;UBFC_ADUM_ UBFC_112339;UBFC_ADUM_UBFC_112339
226483;UBFC_ADUM_ UBFC_112195;UBFC_ADUM_UBFC_112195
226470;UBFC_ADUM_ UBFC_112187;UBFC_ADUM_UBFC_112187
226457;UBFC_ADUM_ UBFC_112172;UBFC_ADUM_UBFC_112172
226440;UBFC_ADUM_ UBFC_112166;UBFC_ADUM_UBFC_112166
226415;UBFC_ADUM_ UBFC_112149;UBFC_ADUM_UBFC_112149
252616;UBFC_ADUM_ UBFC_112148;UBFC_ADUM_UBFC_112148
226414;UBFC_ADUM_ UBFC_112147;UBFC_ADUM_UBFC_112147
226425;UBFC_ADUM_ UBFC_112139;UBFC_ADUM_UBFC_112139
226381;UBFC_ADUM_ UBFC_112137;UBFC_ADUM_UBFC_112137
226380;UBFC_ADUM_ UBFC_112135;UBFC_ADUM_UBFC_112135
226377;UBFC_ADUM_ UBFC_112129;UBFC_ADUM_UBFC_112129
226404;UBFC_ADUM_ UBFC_112127;UBFC_ADUM_UBFC_112127
226368;UBFC_ADUM_ UBFC_112097;UBFC_ADUM_UBFC_112097
226310;UBFC_ADUM_ UBFC_112052;UBFC_ADUM_UBFC_112052
226296;UBFC_ADUM_ UBFC_112028;UBFC_ADUM_UBFC_112028
226279;UBFC_ADUM_ UBFC_111982;UBFC_ADUM_UBFC_111982
226200;UBFC_ADUM_ UBFC_111865;UBFC_ADUM_UBFC_111865
226203;UBFC_ADUM_ UBFC_111864;UBFC_ADUM_UBFC_111864
226180;UBFC_ADUM_ UBFC_111856;UBFC_ADUM_UBFC_111856
226179;UBFC_ADUM_ UBFC_111849;UBFC_ADUM_UBFC_111849
226143;UBFC_ADUM_ UBFC_111776;UBFC_ADUM_UBFC_111776
226115;UBFC_ADUM_ UBFC_111766;UBFC_ADUM_UBFC_111766
226108;UBFC_ADUM_ UBFC_111748;UBFC_ADUM_UBFC_111748
226100;UBFC_ADUM_ UBFC_111745;UBFC_ADUM_UBFC_111745
225934;UBFC_ADUM_ UBFC_111594;UBFC_ADUM_UBFC_111594
225933;UBFC_ADUM_ UBFC_111592;UBFC_ADUM_UBFC_111592
225946;UBFC_ADUM_ UBFC_111579;UBFC_ADUM_UBFC_111579
225900;UBFC_ADUM_ UBFC_111571;UBFC_ADUM_UBFC_111571
225861;UBFC_ADUM_ UBFC_111486;UBFC_ADUM_UBFC_111486
225856;UBFC_ADUM_ UBFC_111465;UBFC_ADUM_UBFC_111465
225598;UBFC_ADUM_ UBFC_111245;UBFC_ADUM_UBFC_111245
224925;UBFC_ADUM_ UBFC_110639;UBFC_ADUM_UBFC_110639
224443;UBFC_ADUM_ UBFC_109979;UBFC_ADUM_UBFC_109979
224436;UBFC_ADUM_ UBFC_109978;UBFC_ADUM_UBFC_109978
224345;UBFC_ADUM_ UBFC_109875;UBFC_ADUM_UBFC_109875
223942;UBFC_ADUM_ UBFC_109761;UBFC_ADUM_UBFC_109761
223955;UBFC_ADUM_ UBFC_109759;UBFC_ADUM_UBFC_109759
223529;UBFC_ADUM_ UBFC_109572;UBFC_ADUM_UBFC_109572
273036;UBFC_ADUM_ UBFC_109559;UBFC_ADUM_UBFC_109559
223456;UBFC_ADUM_ UBFC_109547;UBFC_ADUM_UBFC_109547
223220;UBFC_ADUM_ UBFC_109285;UBFC_ADUM_UBFC_109285
223146;UBFC_ADUM_ UBFC_109232;UBFC_ADUM_UBFC_109232
223048;UBFC_ADUM_ UBFC_109179;UBFC_ADUM_UBFC_109179
223025;UBFC_ADUM_ UBFC_109149;UBFC_ADUM_UBFC_109149
222999;UBFC_ADUM_ UBFC_109138;UBFC_ADUM_UBFC_109138
223010;UBFC_ADUM_ UBFC_109137;UBFC_ADUM_UBFC_109137
222965;UBFC_ADUM_ UBFC_109129;UBFC_ADUM_UBFC_109129
222947;UBFC_ADUM_ UBFC_109107;UBFC_ADUM_UBFC_109107
222594;UBFC_ADUM_ UBFC_108928;UBFC_ADUM_UBFC_108928
222398;UBFC_ADUM_ UBFC_108738;UBFC_ADUM_UBFC_108738
222404;UBFC_ADUM_ UBFC_108737;UBFC_ADUM_UBFC_108737
222403;UBFC_ADUM_ UBFC_108736;UBFC_ADUM_UBFC_108736
222354;UBFC_ADUM_ UBFC_108703;UBFC_ADUM_UBFC_108703
222134;UBFC_ADUM_ UBFC_108584;UBFC_ADUM_UBFC_108584
221981;UBFC_ADUM_ UBFC_108505;UBFC_ADUM_UBFC_108505
221985;UBFC_ADUM_ UBFC_108499;UBFC_ADUM_UBFC_108499
221961;UBFC_ADUM_ UBFC_108486;UBFC_ADUM_UBFC_108486
221947;UBFC_ADUM_ UBFC_108481;UBFC_ADUM_UBFC_108481
221894;UBFC_ADUM_ UBFC_108465;UBFC_ADUM_UBFC_108465
221802;UBFC_ADUM_ UBFC_108438;UBFC_ADUM_UBFC_108438
221787;UBFC_ADUM_ UBFC_108424;UBFC_ADUM_UBFC_108424
221713;UBFC_ADUM_ UBFC_108404;UBFC_ADUM_UBFC_108404
223898;UBFC_ADUM_ UBFC_108342;UBFC_ADUM_UBFC_108342
232037;UBFC_ADUM_ UBFC_108280;UBFC_ADUM_UBFC_108280
221660;UBFC_ADUM_ UBFC_108269;UBFC_ADUM_UBFC_108269
221320;UBFC_ADUM_ UBFC_108210;UBFC_ADUM_UBFC_108210
221293;UBFC_ADUM_ UBFC_108184;UBFC_ADUM_UBFC_108184
221235;UBFC_ADUM_ UBFC_108148;UBFC_ADUM_UBFC_108148
221199;UBFC_ADUM_ UBFC_108120;UBFC_ADUM_UBFC_108120
251746;UBFC_ADUM_ UBFC_108119;UBFC_ADUM_UBFC_108119
221198;UBFC_ADUM_ UBFC_108118;UBFC_ADUM_UBFC_108118
221173;UBFC_ADUM_ UBFC_108101;UBFC_ADUM_UBFC_108101
220929;UBFC_ADUM_ UBFC_107966;UBFC_ADUM_UBFC_107966
220515;UBFC_ADUM_ UBFC_107763;UBFC_ADUM_UBFC_107763
220514;UBFC_ADUM_ UBFC_107762;UBFC_ADUM_UBFC_107762
220490;UBFC_ADUM_ UBFC_107761;UBFC_ADUM_UBFC_107761
220326;UBFC_ADUM_ UBFC_107710;UBFC_ADUM_UBFC_107710
219730;UBFC_ADUM_ UBFC_107543;UBFC_ADUM_UBFC_107543
219725;UBFC_ADUM_ UBFC_107542;UBFC_ADUM_UBFC_107542
219747;UBFC_ADUM_ UBFC_107532;UBFC_ADUM_UBFC_107532
339312;UBFC_ADUM_ UBFC_107528;UBFC_ADUM_UBFC_107528
219615;UBFC_ADUM_ UBFC_107527;UBFC_ADUM_UBFC_107527
219501;UBFC_ADUM_ UBFC_107459;UBFC_ADUM_UBFC_107459
219353;UBFC_ADUM_ UBFC_107426;UBFC_ADUM_UBFC_107426
219103;UBFC_ADUM_ UBFC_107392;UBFC_ADUM_UBFC_107392
273086;UBFC_ADUM_ UBFC_107370;UBFC_ADUM_UBFC_107370
232950;UBFC_ADUM_ UBFC_107298;UBFC_ADUM_UBFC_107298
218779;UBFC_ADUM_ UBFC_107297;UBFC_ADUM_UBFC_107297
218739;UBFC_ADUM_ UBFC_107296;UBFC_ADUM_UBFC_107296
218777;UBFC_ADUM_ UBFC_107294;UBFC_ADUM_UBFC_107294
218600;UBFC_ADUM_ UBFC_107224;UBFC_ADUM_UBFC_107224
218599;UBFC_ADUM_ UBFC_107223;UBFC_ADUM_UBFC_107223
218598;UBFC_ADUM_ UBFC_107222;UBFC_ADUM_UBFC_107222
228205;UBFC_ADUM_ UBFC_107199;UBFC_ADUM_UBFC_107199
232920;UBFC_ADUM_ UBFC_107192;UBFC_ADUM_UBFC_107192
218466;UBFC_ADUM_ UBFC_107191;UBFC_ADUM_UBFC_107191
218552;UBFC_ADUM_ UBFC_107190;UBFC_ADUM_UBFC_107190
218549;UBFC_ADUM_ UBFC_107187;UBFC_ADUM_UBFC_107187
218547;UBFC_ADUM_ UBFC_107184;UBFC_ADUM_UBFC_107184
